university,messages,views,comments,forwards,date
СПбГУ,"❓❓❓❓❓❓❓❓❓❓❓❓❓❓Что такое группа поддержки, кому она может быть полезна и чем, с какими запросами, переживаниями можно и нужно приходить? 
В этой статье я хочу кратко рассказать, что из себя представляет такой формат, чем эти встречи могут быть полезны, с какими вопросами сюда можно приходить, что ожидается от каждого участника. 
🗓 Такие группы мы планируем проводить регулярно. Один раз в месяц в очном формате, один раз онлайн. Вы можете ходить на каждую встречу, или когда потребность в эмоциональном контакте ощущается сильнее, чем обычно. Так как каждый выберет комфортную частоту посещений, состав группы будет меняться. Наши психологические группы поддержки - это открытые группы, вы можете принять участие в ближайшей встрече в любой момент, когда почувствуете потребность и интерес. 
🛋Каждая встреча будет проходить по определенному сценарию: 
1. Знакомство участников
2. Взаимодействие в группе происходит по определенным правилам: 
 - Отбросить осуждение и критику. 
 - Сначала понять, а потом обсуждать. 
 - Приветсвовать и уважать различия во взглядах.
 - Правило микрофона - высказываться по очереди.
 - Быть искренним, говорить кратко и по существу. 
 - Использовать Я - формулировки.
 - Право сказать ""СТОП""
 - Конфиденциальность
3. Обсуждение начинается с вопроса: Что на данный момент волнует вас больше всего? Что вы хотите получить от сегодняшней встречи? 
После того, как высказались все желающие, общим голосованием выбирается наиболее актуальная для всех тема. Для этого запускается второй круг, каждый участник высказывает свое мнение о том, какой теме хочется посвятить сегодняшнюю встречу. 
Затем начинается общее обсуждение с акцентом на то, чтобы выяснить мнения, высказать поддержку, а не доказывать и спорить. Каждый может поделиться своим жизненным опытом, который касается ситуации, своими размышлениями на этот счет или просто высказать свое эмоциональное отношение к обсуждаемому вопросу. Можно задавать вопросы к автору рассматриваемой ситуации, но только для лучшего понимания этой ситуации, его отношений к ней, его переживаний в моменте происходившего и сейчас. 
4. Завершение встречи. В конце слово дается автору ситуации для того, чтобы он мог озвучить, как он себя чувствует сейчас.  
🔗 Чем может быть полезно участие в таких группах? Собравшиеся в группе люди обычно сталкиваются с такими же проблемами, что и каждый из нас. Рассказать о сложностях, с которыми приходится справляться, поделиться переживаниями и услышать в ответ, что кто-то испытывает тоже самое. Такой опыт формирует чувство причастности, нам становится легче от того, что мы не одни, что наши сложности не уникальны. В большинстве состояний это обычно поддерживает и внушает надежду. 
Группа нацелена на высказывание эмоциональной поддержки, на возможность поделиться своим жизненным опытом, или просто дать обратную связь. Когда участник получает это от нескольких разных людей, появляется чувство товарищеского плеча, более широкого понимания своей ситуации.
Часто, поделившись своей трудностью, мы можем услышать в ответ историю о том, как другой человек проходил что-то подобное. Кто-то в ответ рассказывает о своём прогрессе - и мы не просто слышим, мы можем наблюдать, что изменения правда возможны. Это укрепляет наши силы, решимость и готовность действовать, настраивает на более оптимистичный лад.
🧸 Приходить на группу поддержки можно с любыми вопросами, с любыми переживаниями, которые вы готовы озвучить группе. Важно понимать, что в группе мы не даем советов, не делимся рецептами успеха, не даем четких инструкций как поступить. В группе вы можете получить эмоциональный отклик, услышать истории других людей, которые справлялись с чем-то похожим. 
🕯 Для участия в группе достаточно вашего желания и готовности сопереживать. В группе нет строгих требований к тому, как активно вы будете включатьс в процесс. Важен комфорт каждого участника. 
Если еще остались вопросы смело задавай его здесь или в личные сообщения психологам клиники @psycholog_polina_i, @Elena_psychologist_R
🖋🖋🖋Записывайся и приходи на ближайшую встречу!
#группаподдержки2024",,0,,2024-09-17 09:01:38+00:00
СПбГУ,,,0,,2024-09-16 15:05:26+00:00
СПбГУ,,,0,,2024-09-16 15:05:26+00:00
СПбГУ,,,0,,2024-09-16 15:05:26+00:00
СПбГУ,,,0,,2024-09-16 15:05:26+00:00
СПбГУ,,,0,,2024-09-16 15:05:26+00:00
СПбГУ,,,0,,2024-09-16 15:05:26+00:00
СПбГУ,,,0,,2024-09-16 15:05:26+00:00
СПбГУ,,,0,,2024-09-16 15:05:26+00:00
СПбГУ,"🤓15.09.2024 Психологическая клиника приняла участие в SPbU Student Fest с лекцией о стрессе и о способах справления с ним. 
И для всех тех, кому не удалось посетить нашу лекцию, мы подготовили инфографику.
Изучайте, справляйтесь со стрессом эффективно, а если возникнут сложности, приходите на наши групповые мероприятия 👩‍🦳👩‍🦰",,0,,2024-09-16 15:05:26+00:00
